,id,season,gamesPlayedHome,gamesPlayedAway,totalGamesHome,totalWinsHome,homeGamesHome,homeWinsHome,awayGamesHome,awayWinsHome,percentageTotalWinHome,percentageHomeWinHome,percentageAwayWinHome,totalGamesAway,totalWinsAway,homeGamesAway,homeWinsAway,awayGamesAway,awayWinsAway,percentageTotalWinAway,percentageHomeWinAway,percentageAwayWinAway,lastGame1WinHome,lastGame1AtHomeHome,lastGame2WinHome,lastGame2AtHomeHome,lastGame3WinHome,lastGame3AtHomeHome,lastGame4WinHome,lastGame4AtHomeHome,lastGame5WinHome,lastGame5AtHomeHome,lastGame1WinAway,lastGame1AtHomeAway,lastGame2WinAway,lastGame2AtHomeAway,lastGame3WinAway,lastGame3AtHomeAway,lastGame4WinAway,lastGame4AtHomeAway,lastGame5WinAway,lastGame5AtHomeAway,calcStatsHome.seasonTotalPossessions,calcStatsHome.last5TotalPossessions,calcStatsHome.seasonTotalPoints,calcStatsHome.last5TotalPoints,calcStatsHome.seasonOffensiveRating,calcStatsHome.last5OffensiveRating,calcStatsHome.seasonDefensiveRating,calcStatsHome.last5DefensiveRating,calcStatsAway.seasonTotalPossessions,calcStatsAway.last5TotalPossessions,calcStatsAway.seasonTotalPoints,calcStatsAway.last5TotalPoints,calcStatsAway.seasonOffensiveRating,calcStatsAway.last5OffensiveRating,calcStatsAway.seasonDefensiveRating,calcStatsAway.last5DefensiveRating,homeWin,homeBestOdds,awayBestOdds,forecast,winnings
0,31188,2015,82,82,80,35,40,23,40,12,0.43799999999999994,0.575,0.3,75,39,35,21,40,18,0.52,0.6,0.45,False,True,False,True,True,False,False,False,True,True,True,False,True,True,True,True,True,True,False,False,7344.4,451.6,8407,465,114.47,102.97,110.37,113.82,6971.8,455.6,7998,530,114.72,116.33,110.46,110.62,False,2.59,1.58,True,-50
1,31193,2015,65,62,62,35,31,19,31,16,0.565,0.613,0.516,57,27,27,16,30,11,0.474,0.593,0.36700000000000005,False,True,True,True,True,True,False,False,True,True,True,False,True,True,False,True,True,True,True,False,5688.6,445.2,6262,445,110.08,99.96,108.87,103.32,5054.6,434.0,5865,525,116.03,120.97,110.71,105.76,False,2.3,1.74,True,-50
2,31195,2015,58,68,51,18,31,11,20,7,0.353,0.355,0.35,71,40,37,24,34,16,0.563,0.649,0.47100000000000003,False,False,False,True,False,True,True,True,False,False,True,False,False,True,False,False,True,False,False,True,4558.8,435.6,5051,487,110.8,111.8,112.73,117.54,6658.4,469.8,7243,502,108.78,106.85,106.32,106.0,False,2.53,1.59,False,79.5
3,31200,2015,61,57,57,29,26,16,31,13,0.509,0.615,0.419,51,23,21,12,30,11,0.451,0.5710000000000001,0.36700000000000005,False,True,True,False,False,False,True,True,False,True,True,False,True,True,False,False,True,False,False,True,5137.8,453.2,5881,474,114.47,104.59,110.24,107.24,4651.6,459.4,5258,499,113.04,108.62,109.45,109.27,True,2.33,1.71,True,116.5
4,31204,2015,58,58,53,5,30,5,23,0,0.094,0.16699999999999998,0.0,51,29,22,15,29,14,0.569,0.682,0.483,False,True,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,4942.0,452.4,5498,489,111.25,108.09,111.45,110.08,4406.2,420.0,4998,461,113.43,109.76,109.1,112.14,False,3.64,1.33,False,66.5
5,31220,2015,77,57,81,55,38,31,43,24,0.679,0.816,0.5579999999999999,53,23,28,16,25,7,0.434,0.5710000000000001,0.28,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False,7144.6,456.8,8169,516,114.34,112.96,111.3,116.46,4743.0,433.6,5430,462,114.48,106.55,110.69,111.16,True,1.36,3.48,True,68.0
6,31224,2015,62,56,62,35,31,21,31,14,0.565,0.677,0.452,53,15,26,8,27,7,0.28300000000000003,0.308,0.259,False,False,True,False,True,False,False,True,True,True,True,False,True,True,True,False,True,False,False,False,5634.0,453.8,6427,503,114.08,110.84,110.13,108.64,4925.6,470.6,5612,564,113.94,119.85,110.32,103.06,True,1.23,4.8,True,61.5
7,31226,2015,56,66,49,17,30,11,19,6,0.34700000000000003,0.36700000000000005,0.316,67,52,32,30,35,22,0.7759999999999999,0.938,0.629,False,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,True,True,False,4373.2,421.0,4857,472,111.06,112.11,112.69,113.54,6049.2,450.4,6726,505,111.19,112.12,106.15,113.45,False,3.81,1.31,False,65.5
8,31227,2015,57,77,52,5,29,5,23,0,0.096,0.172,0.0,81,56,46,37,35,19,0.691,0.804,0.5429999999999999,True,False,False,True,True,False,False,True,True,False,True,False,True,False,False,True,True,False,True,True,4850.8,455.2,5398,506,111.28,111.16,111.34,108.96,7247.0,451.0,8446,493,116.54,109.31,111.37,101.33,False,11.0,1.07,False,53.5
9,31234,2015,56,59,53,21,27,11,26,10,0.396,0.40700000000000003,0.385,54,25,26,15,28,10,0.46299999999999997,0.5770000000000001,0.35700000000000004,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True,True,True,True,False,True,5046.4,488.8,5743,537,113.8,109.86,112.83,111.29,4791.8,440.6,5556,505,115.95,114.62,111.11,107.13,False,2.77,1.53,False,76.5
