,id,oddsBet365Away,oddsBet365Home,season,gamesPlayedHome,gamesPlayedAway,totalGamesHome,totalWinsHome,homeGamesHome,homeWinsHome,awayGamesHome,awayWinsHome,percentageTotalWinHome,percentageHomeWinHome,percentageAwayWinHome,totalGamesAway,totalWinsAway,homeGamesAway,homeWinsAway,awayGamesAway,awayWinsAway,percentageTotalWinAway,percentageHomeWinAway,percentageAwayWinAway,lastGame1WinHome,lastGame1AtHomeHome,lastGame2WinHome,lastGame2AtHomeHome,lastGame3WinHome,lastGame3AtHomeHome,lastGame4WinHome,lastGame4AtHomeHome,lastGame5WinHome,lastGame5AtHomeHome,lastGame1WinAway,lastGame1AtHomeAway,lastGame2WinAway,lastGame2AtHomeAway,lastGame3WinAway,lastGame3AtHomeAway,lastGame4WinAway,lastGame4AtHomeAway,lastGame5WinAway,lastGame5AtHomeAway,homeWin,forecast,winnings
0,31180,1.45,2.8,2015,82,58,79,20,40,14,39,6,0.253,0.35,0.154,53,24,22,13,31,11,0.45299999999999996,0.591,0.355,True,True,False,True,False,True,False,True,False,False,True,False,True,True,True,False,True,True,False,False,False,False,72.5
1,31181,1.76,2.1,2015,62,82,59,30,27,17,32,13,0.508,0.63,0.406,79,40,39,24,40,16,0.506,0.615,0.4,True,True,False,True,True,False,True,False,False,False,True,True,True,False,True,True,True,False,True,False,True,False,-50
2,31182,5.5,1.16,2015,4,82,2,1,1,1,1,0,0.5,1.0,0.0,78,30,38,16,40,14,0.385,0.42100000000000004,0.35,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,-50
3,31183,2.4,1.62,2015,82,82,76,17,40,12,36,5,0.22399999999999998,0.3,0.139,77,28,37,14,40,14,0.364,0.37799999999999995,0.35,True,False,True,False,True,True,True,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,120.0
4,31196,2.9,1.43,2015,67,65,66,38,32,22,34,16,0.5760000000000001,0.688,0.47100000000000003,62,42,30,25,32,17,0.677,0.833,0.531,False,False,False,False,True,True,True,True,False,True,False,True,True,True,True,False,False,True,True,False,True,True,71.5
5,31203,1.25,4.1,2015,58,75,55,26,27,18,28,8,0.473,0.667,0.28600000000000003,78,50,40,30,38,20,0.6409999999999999,0.75,0.526,True,False,False,False,True,True,False,False,True,False,True,True,True,True,True,False,True,False,False,True,False,False,62.5
6,31204,1.31,3.6,2015,58,58,53,5,30,5,23,0,0.094,0.16699999999999998,0.0,51,29,22,15,29,14,0.569,0.682,0.483,False,True,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,65.5
7,31208,2.3,1.66,2015,64,57,61,35,30,19,31,16,0.574,0.633,0.516,49,27,21,14,28,13,0.551,0.667,0.46399999999999997,True,True,True,True,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,-50
8,31209,6.0,1.14,2015,63,57,63,36,32,22,31,14,0.5710000000000001,0.688,0.452,53,20,25,11,28,9,0.377,0.44,0.321,True,True,False,False,True,False,True,False,False,True,True,False,True,True,True,False,True,True,True,True,True,True,56.99999999999999
9,31216,1.83,2.0,2015,64,66,63,42,31,25,32,17,0.667,0.8059999999999999,0.531,68,38,35,23,33,15,0.5589999999999999,0.657,0.455,True,True,False,False,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,False,False,True,-50
10,31234,1.52,2.67,2015,56,59,53,21,27,11,26,10,0.396,0.40700000000000003,0.385,54,25,26,15,28,10,0.46299999999999997,0.5770000000000001,0.35700000000000004,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True,True,True,True,False,True,False,True,-50
11,31235,4.25,1.23,2015,64,55,63,35,31,21,32,14,0.556,0.677,0.43799999999999994,51,14,21,10,30,4,0.275,0.47600000000000003,0.133,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,61.5
12,31242,4.5,1.22,2015,55,55,52,15,27,8,25,7,0.28800000000000003,0.29600000000000004,0.28,51,19,24,10,27,9,0.373,0.41700000000000004,0.33299999999999996,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,61.0
13,31248,1.58,2.5,2015,56,69,50,20,25,11,25,9,0.4,0.44,0.36,69,40,37,25,32,15,0.58,0.6759999999999999,0.469,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,True,False,True,True,False,False,79.0
14,31249,1.55,2.6,2015,65,58,69,40,33,27,36,13,0.58,0.818,0.361,53,25,26,15,27,10,0.47200000000000003,0.5770000000000001,0.37,False,True,True,False,False,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,True,True,130.0
15,31251,2.45,1.6,2015,54,55,47,14,23,11,24,3,0.298,0.478,0.125,49,10,24,8,25,2,0.204,0.33299999999999996,0.08,True,False,True,False,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,-50
16,31252,13.5,1.04,2015,75,55,80,54,39,31,41,23,0.675,0.795,0.561,52,7,27,6,25,1,0.135,0.222,0.04,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,52.0
17,31257,1.41,3.0,2015,54,74,51,23,26,17,25,6,0.451,0.654,0.24,77,49,42,32,35,17,0.636,0.762,0.486,True,False,True,False,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,True,False,-50
18,31265,1.58,2.5,2015,54,53,49,5,28,5,21,0,0.102,0.179,0.0,51,21,25,16,26,5,0.41200000000000003,0.64,0.192,False,True,False,True,True,False,True,False,False,True,True,True,True,False,True,False,True,False,True,True,False,False,79.0
19,31267,5.5,1.16,2015,64,61,65,49,29,27,36,22,0.754,0.9309999999999999,0.611,60,41,30,25,30,16,0.6829999999999999,0.833,0.5329999999999999,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,57.99999999999999
20,31272,4.25,1.23,2015,70,53,74,47,33,25,41,22,0.635,0.758,0.537,51,14,25,7,26,7,0.275,0.28,0.26899999999999996,True,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,True,True,61.5
21,31273,2.05,1.8,2015,64,58,68,40,32,27,36,13,0.588,0.8440000000000001,0.361,59,26,27,14,32,12,0.441,0.519,0.375,True,False,False,True,True,False,True,False,False,False,True,True,True,False,True,True,True,True,True,True,False,True,-50
22,31275,2.05,1.8,2015,53,63,53,21,27,12,26,9,0.396,0.444,0.34600000000000003,65,37,35,26,30,11,0.569,0.743,0.36700000000000005,True,True,True,False,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,False,True,True,90.0
